城市,节点ID,聚类系数
Chengdu,379,0.0
Chengdu,380,0.0
Chengdu,383,0.0
Chengdu,386,0.0
Chengdu,387,0.0
Chengdu,389,0.166667
Chengdu,394,0.0
Chengdu,395,0.333333
Chengdu,399,0.333333
Chengdu,404,0.0
Chengdu,407,0.333333
Chengdu,409,0.0
Chengdu,410,0.0
Chengdu,412,0.0
Chengdu,416,0.0
Chengdu,418,0.166667
Chengdu,422,0.333333
Chengdu,424,0.166667
Chengdu,428,0.166667
Chengdu,429,0.0
Chengdu,430,0.0
Chengdu,431,0.0
Chengdu,432,0.0
Chengdu,433,0.0
Chengdu,438,0.333333
Chengdu,442,0.333333
Chengdu,443,0.0
Chengdu,445,0.0
Chengdu,450,0.333333
Chengdu,454,0.0
Chengdu,458,0.0
Chengdu,460,0.0
Chengdu,462,0.0
Chengdu,463,0.0
Chengdu,464,0.0
Chengdu,465,0.0
Chengdu,466,0.0
Chengdu,467,0.0
Chengdu,468,0.0
Chengdu,470,0.166667
Chengdu,471,0.0
Chengdu,473,0.0
Chengdu,475,0.166667
Chengdu,479,0.0
Chengdu,483,0.0
Chengdu,487,0.333333
Chengdu,490,0.0
Chengdu,491,0.0
Chengdu,492,0.0
Chengdu,494,0.0
Chengdu,496,0.0
Chengdu,498,0.0
Chengdu,501,0.0
Chengdu,502,0.0
Chengdu,503,0.0
Chengdu,504,0.0
Chengdu,505,0.0
Chengdu,506,0.0
Chengdu,507,0.0
Chengdu,508,0.0
Chengdu,510,0.0
Chengdu,514,0.0
Chengdu,516,0.0
Chengdu,517,0.0
Chengdu,518,0.0
Chengdu,519,0.0
Chengdu,520,0.0
Chengdu,522,0.333333
Chengdu,525,0.0
Chengdu,528,0.0
Chengdu,529,0.0
Chengdu,530,0.0
Chengdu,533,0.0
Chengdu,534,0.0
Chengdu,537,0.0
Chengdu,539,0.0
Chengdu,542,0.0
Chengdu,544,0.0
Chengdu,545,0.0
Chengdu,546,0.0
Chengdu,548,0.0
Chengdu,550,0.0
Chengdu,554,0.0
Chengdu,556,0.0
Chengdu,560,0.0
Chengdu,562,0.0
Chengdu,564,0.166667
Chengdu,567,0.0
Chengdu,568,0.0
Chengdu,569,0.0
Chengdu,570,0.0
Chengdu,571,0.333333
Chengdu,575,0.333333
Chengdu,580,0.0
Chengdu,581,0.0
Chengdu,582,0.0
Chengdu,583,0.0
Chengdu,585,0.0
Chengdu,587,0.0
Chengdu,588,0.0
Chengdu,589,0.0
Chengdu,590,0.0
Chengdu,591,0.0
Chengdu,593,0.0
Chengdu,596,0.0
Chengdu,599,0.0
Chengdu,601,0.0
Chengdu,604,0.0
Chengdu,605,0.0
Chengdu,608,0.0
Chengdu,609,0.0
Chengdu,612,0.0
Chengdu,613,0.0
Chengdu,614,0.0
Chengdu,615,0.0
Chengdu,616,0.0
Chengdu,617,0.0
Chengdu,618,0.0
Chengdu,619,0.333333
Chengdu,621,0.333333
Chengdu,623,0.0
Chengdu,624,0.0
Chengdu,628,0.166667
Chengdu,631,0.0
Chengdu,632,0.0
Chengdu,633,0.0
Chengdu,635,0.0
Chengdu,640,0.0
Chengdu,643,0.0
Chengdu,644,0.0
Chengdu,645,0.0
Chengdu,646,0.0
Chengdu,648,0.0
Chengdu,652,0.0
Chengdu,654,0.0
Chengdu,655,0.0
Chengdu,656,0.0
Chengdu,657,0.0
Chengdu,658,0.0
Chengdu,659,0.0
Chengdu,666,0.0
Chengdu,667,0.0
Chengdu,668,0.0
Chengdu,672,0.0
Chengdu,674,0.0
Chengdu,680,0.0
Chengdu,681,0.0
Chengdu,685,0.0
Chengdu,686,0.0
Chengdu,687,0.0
Chengdu,689,0.0
Chengdu,690,0.0
Chengdu,692,0.0
Chengdu,695,0.333333
Chengdu,697,0.333333
Chengdu,698,0.0
Chengdu,700,0.333333
Chengdu,702,0.0
Chengdu,704,0.0
Chengdu,705,0.0
Chengdu,706,0.0
Chengdu,708,0.0
Chengdu,709,0.0
Chengdu,712,0.0
Chengdu,716,0.333333
Chengdu,720,0.0
Chengdu,724,0.0
Chengdu,725,0.333333
Chengdu,728,0.0
Chengdu,730,0.0
Chengdu,731,0.0
Chengdu,733,0.0
Chengdu,736,0.166667
Chengdu,740,0.166667
Chengdu,743,0.166667
Chengdu,744,0.333333
Chengdu,747,0.166667
Chengdu,752,0.333333
Chengdu,755,0.0
Chengdu,756,0.0
Chengdu,759,0.333333
Chengdu,762,0.0
Chengdu,763,0.0
Chengdu,764,0.0
Chengdu,766,0.0
Chengdu,769,0.0
Chengdu,770,0.0
Chengdu,772,0.0
Chengdu,774,0.0
Chengdu,775,0.0
Chengdu,778,0.333333
Chengdu,782,0.333333
Chengdu,786,0.0
Chengdu,788,0.0
Chengdu,789,0.0
Chengdu,791,0.0
Chengdu,794,0.0
Chengdu,797,0.0
Chengdu,800,0.0
Chengdu,803,0.0
Chengdu,804,0.0
Chengdu,806,0.0
Chengdu,807,0.0
Chengdu,808,0.0
Chengdu,810,0.0
Chengdu,812,0.0
Chengdu,813,0.0
Chengdu,816,0.0
Chengdu,818,0.0
Chengdu,819,0.0
Chengdu,822,0.0
Chengdu,823,0.0
Chengdu,824,0.0
Chengdu,828,0.0
Chengdu,832,0.0
Chengdu,835,0.0
Chengdu,840,0.166667
Chengdu,844,0.0
Chengdu,847,0.166667
Chengdu,852,0.0
Chengdu,853,0.0
Chengdu,856,0.0
Chengdu,858,0.0
Chengdu,859,0.0
Chengdu,862,0.0
Chengdu,864,0.0
Chengdu,865,0.0
Chengdu,868,0.0
Chengdu,870,0.0
Chengdu,871,0.0
Chengdu,872,0.0
Chengdu,875,0.0
Chengdu,877,0.0
Chengdu,881,0.0
Chengdu,883,0.0
Chengdu,887,0.0
Chengdu,888,0.0
Chengdu,890,0.333333
Chengdu,892,0.0
Chengdu,894,0.333333
Chengdu,898,0.0
Chengdu,900,0.0
Chengdu,903,0.0
Chengdu,907,0.0
Chengdu,908,0.0
Chengdu,909,0.0
Chengdu,911,0.0
Chengdu,916,0.333333
Chengdu,917,0.0
Chengdu,921,0.0
Chengdu,923,0.0
Chengdu,926,0.0
Chengdu,929,0.0
Chengdu,934,0.0
Chengdu,936,0.0
Chengdu,938,0.0
Chengdu,939,0.0
Chengdu,942,0.0
Chengdu,945,0.0
Chengdu,948,0.0
Chengdu,954,0.0
Chengdu,956,0.0
Chengdu,958,0.0
Chengdu,961,0.0
Chengdu,966,0.0
Chengdu,968,0.0
Chengdu,971,0.0
Chengdu,974,0.0
Chengdu,976,0.0
Chengdu,979,0.0
Chengdu,981,0.0
Chengdu,984,0.166667
Chengdu,987,0.0
Chengdu,991,0.0
Chengdu,994,0.0
Chengdu,997,0.166667
Chengdu,1001,0.0
Chengdu,1003,0.0
Chengdu,1004,0.0
Chengdu,1005,0.0
Chengdu,1007,0.0
Chengdu,1011,0.0
Chengdu,1014,0.0
Chengdu,1018,0.0
Chengdu,1020,0.0
Chengdu,1021,0.0
Chengdu,1024,0.0
Chengdu,1027,0.0
Chengdu,1029,0.0
Chengdu,1030,0.0
Chengdu,1034,0.0
Chengdu,1035,0.0
Chengdu,1036,0.0
Chengdu,1039,0.333333
Chengdu,1040,0.666667
Chengdu,1044,0.0
Chengdu,1047,0.0
Chengdu,1051,0.0
Chengdu,1054,0.0
Chengdu,1055,1.0
Chengdu,1056,0.333333
Chengdu,1057,0.666667
Chengdu,1060,0.333333
Chengdu,1062,0.333333
Chengdu,1065,0.0
Chengdu,1067,0.0
Chengdu,1071,0.0
Chengdu,1076,0.0
Chengdu,1079,0.0
Chengdu,1080,0.0
Chengdu,1081,0.0
Chengdu,1084,0.0
Chengdu,1087,0.0
Chengdu,1088,0.333333
Chengdu,1089,0.166667
Chengdu,1091,0.0
Chengdu,1093,0.0
Chengdu,1094,0.0
Chengdu,1095,0.0
Chengdu,1098,0.333333
Chengdu,1100,0.0
Chengdu,1103,0.333333
Chengdu,1104,0.0
Chengdu,1105,0.333333
Chengdu,1111,0.0
Chengdu,1112,0.0
Chengdu,1114,0.333333
Chengdu,1115,0.0
Chengdu,1119,0.666667
Chengdu,1122,0.333333
Chengdu,1126,0.333333
Chengdu,1129,0.0
Chengdu,1130,0.333333
Chengdu,1131,0.0
Chengdu,1132,0.333333
Chengdu,1133,0.0
Chengdu,1135,0.333333
Chengdu,1139,0.0
Chengdu,1144,0.0
Chengdu,1147,0.0
Chengdu,1148,0.0
Chengdu,1152,0.0
Chengdu,1153,0.166667
Chengdu,1156,0.0
Chengdu,1157,0.0
Chengdu,1158,0.0
Chengdu,1162,0.0
Chengdu,1165,0.0
Chengdu,1168,0.0
Chengdu,1169,0.0
Chengdu,1171,0.0
Chengdu,1172,0.0
Chengdu,1174,0.0
Chengdu,1175,0.0
Chengdu,1176,0.0
Chengdu,1177,0.0
Chengdu,1181,0.0
Chengdu,1182,0.0
Chengdu,1183,0.0
Chengdu,1185,0.0
Chengdu,1187,0.0
Chengdu,1190,0.0
Chengdu,1192,0.0
Chengdu,1194,0.0
Chengdu,1198,0.0
Chengdu,1200,0.666667
Chengdu,1202,0.333333
Chengdu,1206,0.0
Chengdu,1207,0.0
Chengdu,1210,0.0
Chengdu,1211,0.333333
Chengdu,1217,0.0
Chengdu,1218,0.0
Chengdu,1221,0.333333
Chengdu,1226,0.0
Chengdu,1227,0.0
Chengdu,1230,0.0
Chengdu,1235,0.333333
Chengdu,1238,0.0
Chengdu,1242,0.0
Chengdu,1244,0.0
Chengdu,1246,0.0
Chengdu,1247,0.333333
Chengdu,1252,0.0
Chengdu,1253,0.0
Chengdu,1256,0.666667
Chengdu,1259,0.0
Chengdu,1261,0.0
Chengdu,1263,0.0
Chengdu,1268,0.333333
Chengdu,1271,0.0
Chengdu,1272,0.0
Chengdu,1273,0.0
Chengdu,1274,0.0
Chengdu,1278,0.0
Chengdu,1279,0.0
Chengdu,1281,0.0
Chengdu,1282,0.0
Chengdu,1284,0.0
Chengdu,1286,0.0
Chengdu,1289,0.333333
Chengdu,1290,0.0
Chengdu,1292,0.0
Chengdu,1294,0.0
Chengdu,1297,0.0
Chengdu,1301,0.0
Chengdu,1308,0.0
Chengdu,1310,0.0
Chengdu,1311,0.0
Chengdu,1315,0.0
Chengdu,1316,0.0
Chengdu,1320,0.333333
Chengdu,1322,0.0
Chengdu,1324,0.0
Chengdu,1328,0.333333
Chengdu,1332,0.333333
Chengdu,1334,0.333333
Chengdu,1339,0.0
Chengdu,1340,0.0
Chengdu,1344,0.333333
Chengdu,1348,0.0
Chengdu,1350,0.0
Chengdu,1352,0.0
Chengdu,1356,0.0
Chengdu,1359,0.0
Chengdu,1361,0.0
Chengdu,1363,0.0
Chengdu,1366,0.0
Chengdu,1370,0.333333
Chengdu,1373,0.0
Chengdu,1375,0.0
Chengdu,1378,0.0
Chengdu,1381,0.0
Chengdu,1387,0.333333
Chengdu,1390,0.333333
Chengdu,1394,0.0
Chengdu,1395,0.0
Chengdu,1398,0.0
Chengdu,1399,0.0
Chengdu,1400,0.0
Chengdu,1401,0.0
Chengdu,1406,0.333333
Chengdu,1409,0.0
Chengdu,1414,0.0
Chengdu,1416,0.0
Chengdu,1417,0.0
Chengdu,1422,0.0
Chengdu,1423,0.0
Chengdu,1429,0.0
Chengdu,1432,0.0
Chengdu,1436,0.0
Chengdu,1437,0.0
Chengdu,1442,0.0
Chengdu,1445,0.0
Chengdu,1447,0.333333
Chengdu,1450,0.0
Chengdu,1454,0.0
Chengdu,1456,0.0
Chengdu,1458,0.0
Chengdu,1460,0.0
Chengdu,1462,0.0
Chengdu,1466,0.0
Chengdu,1470,0.0
Chengdu,1471,0.0
Chengdu,1474,0.0
Chengdu,1475,0.0
Chengdu,1478,0.166667
Chengdu,1480,0.0
Chengdu,1483,0.0
Chengdu,1488,0.0
Chengdu,1490,0.0
Chengdu,1491,0.0
Chengdu,1494,0.333333
Chengdu,1496,0.0
Chengdu,1500,0.0
Chengdu,1501,0.333333
Chengdu,1504,0.0
Chengdu,1507,0.0
Chengdu,1509,1.0
Chengdu,1511,0.0
Chengdu,1513,0.0
Chengdu,1515,0.0
Chengdu,1518,0.0
Chengdu,1521,0.333333
Chengdu,1523,0.333333
Chengdu,1530,0.0
Chengdu,1533,0.0
Chengdu,1538,0.0
Chengdu,1539,0.0
Chengdu,1542,0.0
Chengdu,1546,0.0
Chengdu,1547,0.0
Chengdu,1551,0.0
Chengdu,1556,0.0
Chengdu,1560,0.0
Chengdu,1562,0.0
Chengdu,1564,0.0
Chengdu,1567,0.0
Chengdu,1572,0.0
Chengdu,1575,0.0
Chengdu,1582,0.0
Chengdu,1587,0.0
Chengdu,1589,0.0
Chengdu,1592,0.0
Chengdu,1594,0.0
Chengdu,1595,0.0
Chengdu,1598,0.0
Chengdu,1600,0.0
Chengdu,1604,0.0
Chengdu,1606,0.0
Chengdu,1608,0.0
Chengdu,1609,0.0
Chengdu,1612,0.0
Chengdu,1616,0.333333
Chengdu,1618,0.333333
Chengdu,1621,0.0
Chengdu,1624,0.0
Chengdu,1630,0.0
Chengdu,1631,0.333333
Chengdu,1635,0.0
Chengdu,1637,0.333333
Chengdu,1639,0.0
Chengdu,1642,0.333333
Chengdu,1644,0.333333
Chengdu,1645,0.333333
Chengdu,1650,0.0
Chengdu,1652,0.0
Chengdu,1656,0.0
Chengdu,1660,0.333333
Chengdu,1661,0.0
Chengdu,1668,0.333333
Chengdu,1672,0.0
Chengdu,1674,0.0
Chengdu,1676,0.0
Chengdu,1677,0.0
Chengdu,1680,0.0
Chengdu,1683,0.0
Chengdu,1684,0.166667
Chengdu,1688,0.0
Chengdu,1691,0.333333
Chengdu,1694,0.0
Chengdu,1697,0.0
Chengdu,1698,0.0
Chengdu,1700,0.333333
Chengdu,1701,0.166667
Chengdu,1708,0.0
Chengdu,1710,0.333333
Chengdu,1711,0.0
Chengdu,1713,0.333333
Chengdu,1716,0.0
Chengdu,1720,0.333333
Chengdu,1724,0.0
Chengdu,1727,0.333333
Chengdu,1733,0.333333
Chengdu,1740,0.333333
Chengdu,1742,0.0
Chengdu,1745,0.0
Chengdu,1749,0.0
Chengdu,1750,0.0
Chengdu,1754,0.0
Chengdu,1757,0.0
Chengdu,1760,0.0
Chengdu,1764,0.0
Chengdu,1767,0.0
Chengdu,1772,0.0
Chengdu,1774,0.0
Chengdu,1778,0.333333
Chengdu,1779,0.333333
Chengdu,1783,0.333333
Chengdu,1790,0.0
Chengdu,1791,0.0
Chengdu,1792,0.0
Chengdu,1794,0.0
Chengdu,1796,0.0
Chengdu,1797,0.0
Chengdu,1800,0.0
Chengdu,1803,0.0
Chengdu,1806,0.0
Chengdu,1810,0.0
Chengdu,1814,0.333333
Chengdu,1815,0.0
Chengdu,1816,0.0
Chengdu,1817,0.0
Chengdu,1819,0.0
Chengdu,1822,0.0
Chengdu,1824,0.166667
Chengdu,1827,0.166667
Chengdu,1832,0.0
Chengdu,1838,0.0
Chengdu,1839,0.0
Chengdu,1842,0.0
Chengdu,1844,0.333333
Chengdu,1847,0.0
Chengdu,1851,0.0
Chengdu,1852,0.0
Chengdu,1854,0.333333
Chengdu,1855,0.0
Chengdu,1856,0.0
Chengdu,1861,0.166667
Chengdu,1870,0.0
Chengdu,1872,0.0
Chengdu,1876,0.0
Chengdu,1878,0.0
Chengdu,1881,0.0
Chengdu,1884,0.0
Chengdu,1888,0.0
Chengdu,1891,0.0
Chengdu,1894,0.0
Chengdu,1895,0.0
Chengdu,1896,0.0
Chengdu,1898,0.0
Chengdu,1899,0.0
Chengdu,1900,0.0
Chengdu,1902,0.0
Chengdu,1904,0.0
Chengdu,1906,0.0
Chengdu,1908,0.0
Chengdu,1909,0.0
Chengdu,1910,0.0
Chengdu,1911,0.0
Chengdu,1912,0.333333
Chengdu,1914,0.0
Chengdu,1915,0.0
Chengdu,1919,0.0
Chengdu,1920,0.0
Chengdu,1921,0.0
Chengdu,1926,0.0
Chengdu,1928,0.0
Chengdu,1929,0.0
Chengdu,1931,0.0
Chengdu,1932,0.0
Chengdu,1933,0.333333
Chengdu,1935,0.333333
Chengdu,1936,0.0
Chengdu,1937,0.333333
Chengdu,1940,0.333333
Chengdu,1941,0.0
Chengdu,1943,0.0
Chengdu,1952,0.0
Chengdu,1955,0.333333
Chengdu,1959,0.0
Chengdu,1962,0.0
Chengdu,1964,0.0
Chengdu,1965,0.333333
Chengdu,1967,0.0
Chengdu,1970,0.0
Chengdu,1971,0.0
Chengdu,1974,0.0
Chengdu,1975,0.333333
Chengdu,1980,0.0
Chengdu,1981,0.0
Chengdu,1983,0.0
Chengdu,1985,0.0
Chengdu,1988,0.0
Chengdu,1989,0.0
Chengdu,1992,0.0
Chengdu,1993,0.0
Chengdu,1995,0.0
Chengdu,1998,0.0
Chengdu,2000,0.0
Chengdu,2001,0.333333
Chengdu,2004,0.333333
Chengdu,2008,0.0
Chengdu,2009,0.0
Chengdu,2013,0.0
Chengdu,2014,0.0
Chengdu,2018,0.0
Chengdu,2020,0.0
Chengdu,2021,0.333333
Chengdu,2026,0.0
Chengdu,2027,0.0
Chengdu,2033,0.0
Chengdu,2036,0.0
Chengdu,2037,0.0
Chengdu,2039,0.0
Chengdu,2042,0.0
Chengdu,2043,0.0
Chengdu,2045,0.0
Chengdu,2047,0.0
Chengdu,2048,0.0
Chengdu,2050,0.0
Chengdu,2051,0.0
Chengdu,2054,0.166667
Chengdu,2057,0.166667
Chengdu,2062,0.0
Chengdu,2065,0.0
Chengdu,2070,0.0
Chengdu,2071,0.0
Chengdu,2073,0.0
Chengdu,2078,0.0
Chengdu,2080,0.333333
Chengdu,2084,0.166667
Chengdu,2088,0.333333
Chengdu,2091,0.166667
Chengdu,2097,0.0
Chengdu,2098,0.0
Chengdu,2100,0.0
Chengdu,2104,0.333333
Chengdu,2108,0.0
Chengdu,2109,0.0
Chengdu,2113,0.0
Chengdu,2114,0.166667
Chengdu,2116,0.0
Chengdu,2117,0.0
Chengdu,2119,0.0
Chengdu,2124,0.0
Chengdu,2125,0.0
Chengdu,2127,0.0
Chengdu,2132,0.0
Chengdu,2133,0.0
Chengdu,2134,0.0
Chengdu,2135,0.0
Chengdu,2137,0.166667
Chengdu,2142,0.0
Chengdu,2144,0.0
Chengdu,2145,0.0
Chengdu,2150,0.0
Chengdu,2152,0.0
Chengdu,2153,0.0
Chengdu,2158,0.0
Chengdu,2162,0.0
Chengdu,2166,0.0
Chengdu,2168,0.0
Chengdu,2170,0.0
Chengdu,2171,0.0
Chengdu,2175,0.0
Chengdu,2176,0.0
Chengdu,2177,0.0
Chengdu,2178,0.0
Chengdu,2182,0.0
Chengdu,2186,0.0
Chengdu,2187,0.0
Chengdu,2192,0.0
Chengdu,2197,0.166667
Chengdu,2199,0.0
Chengdu,2202,0.0
Chengdu,2203,0.0
Chengdu,2207,0.333333
Chengdu,2209,0.166667
Chengdu,2213,0.0
Chengdu,2216,0.0
Chengdu,2219,0.0
Chengdu,2223,0.0
Chengdu,2225,0.0
Chengdu,2226,0.0
Chengdu,2227,0.0
Chengdu,2228,0.0
Chengdu,2231,0.0
Chengdu,2235,0.333333
Chengdu,2236,0.0
Chengdu,2239,0.333333
Chengdu,2240,0.333333
Chengdu,2244,0.0
Chengdu,2245,0.0
Chengdu,2250,0.0
Chengdu,2252,0.0
Chengdu,2256,0.0
Chengdu,2259,0.0
Chengdu,2261,0.333333
Chengdu,2264,0.333333
Chengdu,2268,0.333333
Chengdu,2276,0.0
Chengdu,2277,0.0
Chengdu,2279,0.0
Chengdu,2284,0.0
Chengdu,2287,0.0
Chengdu,2291,0.0
Chengdu,2294,0.0
Chengdu,2298,0.0
Chengdu,2300,0.0
Chengdu,2301,0.0
Chengdu,2304,0.0
Chengdu,2308,0.0
Chengdu,2310,0.0
Chengdu,2312,0.0
Chengdu,2314,0.0
Chengdu,2316,0.0
Chengdu,2319,0.0
Chengdu,2320,0.0
Chengdu,2323,0.0
Chengdu,2324,0.0
Chengdu,2328,0.0
Chengdu,2329,0.0
Chengdu,2334,0.0
Chengdu,2337,0.0
Chengdu,2339,0.0
Chengdu,2340,0.0
Chengdu,2344,0.166667
Chengdu,2346,0.0
Chengdu,2351,0.0
Chengdu,2353,0.0
Chengdu,2356,0.0
Chengdu,2358,0.333333
Chengdu,2359,0.333333
Chengdu,2362,0.0
Chengdu,2363,0.0
Chengdu,2367,0.333333
Chengdu,2371,0.0
Chengdu,2379,0.0
Chengdu,2381,0.0
Chengdu,2382,0.0
Chengdu,2383,0.0
Chengdu,2385,0.0
Chengdu,2388,0.333333
Chengdu,2391,0.0
Chengdu,2393,0.0
Chengdu,2396,0.166667
Chengdu,2400,0.0
Chengdu,2402,0.166667
Chengdu,2406,0.0
Chengdu,2407,0.0
Chengdu,2409,0.0
Chengdu,2410,0.0
Chengdu,2411,0.333333
Chengdu,2416,0.166667
Chengdu,2420,0.333333
Chengdu,2426,0.166667
Chengdu,2429,0.0
Chengdu,2430,0.0
Chengdu,2434,0.0
Chengdu,2438,0.0
Chengdu,2439,0.0
Chengdu,2444,0.0
Chengdu,2446,0.0
Chengdu,2450,0.0
Chengdu,2453,0.0
Chengdu,2457,0.0
Chengdu,2462,0.0
Chengdu,2463,0.0
Chengdu,2466,0.333333
Chengdu,2469,0.0
Chengdu,2472,0.0
Chengdu,2474,0.166667
Chengdu,2478,0.0
Chengdu,2479,0.166667
Chengdu,2483,0.2
Chengdu,2489,0.0
Chengdu,2491,0.0
Chengdu,2492,0.0
Chengdu,2496,0.0
Chengdu,2499,0.0
Chengdu,2500,0.0
Chengdu,2501,0.0
Chengdu,2502,0.0
Chengdu,2504,0.0
Chengdu,2506,0.0
Chengdu,2507,0.0
Chengdu,2509,0.0
Chengdu,2513,0.0
Chengdu,2517,0.0
Chengdu,2519,0.0
Chengdu,2521,0.333333
Chengdu,2523,0.0
Chengdu,2524,0.0
Chengdu,2525,0.0
Chengdu,2528,0.0
Chengdu,2530,0.166667
Chengdu,2534,0.0
Chengdu,2536,0.166667
Chengdu,2540,0.0
Chengdu,2543,0.0
Chengdu,2545,0.0
Chengdu,2549,0.333333
Chengdu,2550,0.0
Chengdu,2552,0.0
Chengdu,2553,0.0
Chengdu,2554,0.0
Chengdu,2556,0.0
Chengdu,2559,0.0
Chengdu,2561,0.333333
Chengdu,2565,0.0
Chengdu,2568,0.0
Chengdu,2570,0.0
Chengdu,2571,0.0
Chengdu,2575,0.333333
Chengdu,2579,0.0
Chengdu,2583,0.0
Chengdu,2586,0.0
Chengdu,2587,0.0
Chengdu,2591,0.0
Chengdu,2593,0.166667
Chengdu,2594,0.0
Chengdu,2595,0.166667
Chengdu,2597,0.0
Chengdu,2598,0.0
Chengdu,2599,0.0
Chengdu,2600,0.0
Chengdu,2601,0.0
Chengdu,2603,0.166667
Chengdu,2604,0.0
Chengdu,2607,0.0
Chengdu,2611,0.0
Chengdu,2612,0.0
Chengdu,2613,0.0
Chengdu,2617,0.0
Chengdu,2625,0.0
Chengdu,2627,0.0
Chengdu,2628,0.0
Chengdu,2629,0.333333
Chengdu,2632,0.0
Chengdu,2633,0.0
Chengdu,2634,0.0
Chengdu,2637,0.0
Chengdu,2638,0.0
Chengdu,2642,0.0
Chengdu,2645,0.166667
Chengdu,2646,0.0
Chengdu,2647,0.0
Chengdu,2648,0.0
Chengdu,2652,0.0
Chengdu,2654,0.0
Chengdu,2655,0.0
Chengdu,2659,0.0
Chengdu,2660,0.0
Chengdu,2663,0.0
Chengdu,2665,0.0
Chengdu,2669,0.0
Chengdu,2672,0.0
Chengdu,2673,0.0
